Team,Year,Conference,Subdivision
Texas,1968, Southwest Conference,Division I-A
Texas A&M,1968, Southwest Conference,Division I-A
Texas Christian,1968, Southwest Conference,Division I-A
Texas St.,1968, Lone Star Conference,Division II
Texas Tech,1968, Southwest Conference,Division I-A
Texas-El Paso,1968, Western Athletic Conference,Division I-A
Toledo (OH),1968, Mid-American Conference,Division I-A
Troy (AL),1968, Alabama Collegiate Conference,NAIA
Tulane (LA),1968, Independent,Division I-A
Tulsa (OK),1968, Missouri Valley Conference,Division I-A
UCLA,1968, Pacific-12 Conference,Division I-A
Utah,1968, Western Athletic Conference,Division I-A
Utah St.,1968, Independent,Division I-A
Vanderbilt (TN),1968, Southeastern Conference,Division I-A
Virginia,1968, Atlantic Coast Conference,Division I-A
Virginia Tech,1968, Independent,Division I-A
Wake Forest (NC),1968, Atlantic Coast Conference,Division I-A
Washington,1968, Pacific-12 Conference,Division I-A
Washington St.,1968, Pacific-12 Conference,Division I-A
West Virginia,1968, Independent,Division I-A
Western Kentucky,1968, Ohio Valley Conference,Division II
Western Michigan,1968, Mid-American Conference,Division I-A
Wisconsin,1968, Big Ten Conference,Division I-A
Wyoming,1968, Western Athletic Conference,Division I-A
Air Force (CO),1969, Independent,Division I-A
Akron (OH),1969, Independent,Division II
Alabama,1969, Southeastern Conference,Division I-A
Appalachian St. (NC),1969, Carolinas Conference,NAIA
Arizona,1969, Western Athletic Conference,Division I-A
Arizona St.,1969, Western Athletic Conference,Division I-A
Arkansas,1969, Southwest Conference,Division I-A
Arkansas St.,1969, Southland Conference,Division II
Army (NY),1969, Independent,Division I-A
Auburn (AL),1969, Southeastern Conference,Division I-A
Ball St. (IN),1969, Independent,Division II
Baylor (TX),1969, Southwest Conference,Division I-A
Boise St. (ID),1969, Independent,Division II
Boston College (MA),1969, Independent,Division I-A
Bowling Green (OH),1969, Mid-American Conference,Division I-A
Brigham Young (UT),1969, Western Athletic Conference,Division I-A
Buffalo (NY),1969, Independent,Division I-A
California,1969, Pacific-12 Conference,Division I-A
Central Michigan,1969, Interstate Intercollegiate Athletic Conference,Division II
Cincinnati (OH),1969, Missouri Valley Conference,Division I-A
Clemson (SC),1969, Atlantic Coast Conference,Division I-A
Colorado,1969, Big Eight Conference,Division I-A
Colorado St.,1969, Western Athletic Conference,Division I-A
Connecticut,1969, Yankee Conference,Division II
Duke (NC),1969, Atlantic Coast Conference,Division I-A
East Carolina (NC),1969, Southern Conference,Division I-A
Eastern Michigan,1969, Independent,Division II
Florida,1969, Southeastern Conference,Division I-A
Florida St.,1969, Independent,Division I-A
Fresno St. (CA),1969, Big West Conference,Division I-A
Georgia,1969, Southeastern Conference,Division I-A
Georgia Tech,1969, Independent,Division I-A
Hawaii,1969, Independent,Division II
Houston (TX),1969, Independent,Division I-A
Idaho,1969, Big Sky Conference,Division I-A
Illinois,1969, Big Ten Conference,Division I-A
Indiana,1969, Big Ten Conference,Division I-A
Iowa,1969, Big Ten Conference,Division I-A
Iowa St.,1969, Big Eight Conference,Division I-A
Kansas,1969, Big Eight Conference,Division I-A
Kansas St.,1969, Big Eight Conference,Division I-A
Kent St. (OH),1969, Mid-American Conference,Division I-A
Kentucky,1969, Southeastern Conference,Division I-A
Louisiana St.,1969, Southeastern Conference,Division I-A
Louisiana Tech,1969, Gulf States Conference,Division II
Louisiana-Lafayette,1969, Gulf States Conference,Division II
Louisiana-Monroe,1969, Gulf States Conference,Division II
Louisville (KY),1969, Missouri Valley Conference,Division I-A
Marshall (WV),1969, Independent,Division I-A
Maryland,1969, Atlantic Coast Conference,Division I-A
Massachusetts,1969, Yankee Conference,Division II
Memphis (TN),1969, Missouri Valley Conference,Division I-A
Miami (FL),1969, Independent,Division I-A
Miami (OH),1969, Mid-American Conference,Division I-A
Michigan,1969, Big Ten Conference,Division I-A
Michigan St.,1969, Big Ten Conference,Division I-A
Middle Tennessee St.,1969, Ohio Valley Conference,Division II
Minnesota,1969, Big Ten Conference,Division I-A
Mississippi,1969, Southeastern Conference,Division I-A
Mississippi St.,1969, Southeastern Conference,Division I-A
Missouri,1969, Big Eight Conference,Division I-A
Navy (MD),1969, Independent,Division I-A
Nebraska,1969, Big Eight Conference,Division I-A
Nevada,1969, Independent,Division II
Nevada-Las Vegas,1969, Independent,Division II
New Mexico,1969, Western Athletic Conference,Division I-A
New Mexico St.,1969, Independent,Division I-A
North Carolina,1969, Atlantic Coast Conference,Division I-A
North Carolina St.,1969, Atlantic Coast Conference,Division I-A
North Texas,1969, Missouri Valley Conference,Division I-A
Northern Illinois,1969, Independent,Division I-A
Northwestern (IL),1969, Big Ten Conference,Division I-A
Notre Dame (IN),1969, Independent,Division I-A
Ohio,1969, Mid-American Conference,Division I-A
Ohio St.,1969, Big Ten Conference,Division I-A
Oklahoma,1969, Big Eight Conference,Division I-A
Oklahoma St.,1969, Big Eight Conference,Division I-A
Oregon,1969, Pacific-12 Conference,Division I-A
Oregon St.,1969, Pacific-12 Conference,Division I-A
Penn St.,1969, Independent,Division I-A
Pittsburgh (PA),1969, Independent,Division I-A
Purdue (IN),1969, Big Ten Conference,Division I-A
Rice (TX),1969, Southwest Conference,Division I-A
Rutgers (NJ),1969, Middle Three Conference,Division I-A
San Diego St. (CA),1969, Big West Conference,Division I-A
San Jose St. (CA),1969, Big West Conference,Division I-A
South Carolina,1969, Atlantic Coast Conference,Division I-A
Southern California,1969, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1969, Southwest Conference,Division I-A
Southern Mississippi,1969, Independent,Division I-A
Stanford (CA),1969, Pacific-12 Conference,Division I-A
Syracuse (NY),1969, Independent,Division I-A
Temple (PA),1969, Middle Atlantic States Collegiate Athletic Corporation,Division II
Tennessee,1969, Southeastern Conference,Division I-A
Texas,1969, Southwest Conference,Division I-A
Texas A&M,1969, Southwest Conference,Division I-A
Texas Christian,1969, Southwest Conference,Division I-A
Texas St.,1969, Lone Star Conference,Division II
Texas Tech,1969, Southwest Conference,Division I-A
Texas-El Paso,1969, Western Athletic Conference,Division I-A
Toledo (OH),1969, Mid-American Conference,Division I-A
Troy (AL),1969, Alabama Collegiate Conference,NAIA
Tulane (LA),1969, Independent,Division I-A
Tulsa (OK),1969, Missouri Valley Conference,Division I-A
UCLA,1969, Pacific-12 Conference,Division I-A
Utah,1969, Western Athletic Conference,Division I-A
Utah St.,1969, Independent,Division I-A
Vanderbilt (TN),1969, Southeastern Conference,Division I-A
Virginia,1969, Atlantic Coast Conference,Division I-A
Virginia Tech,1969, Independent,Division I-A
Wake Forest (NC),1969, Atlantic Coast Conference,Division I-A
Washington,1969, Pacific-12 Conference,Division I-A
Washington St.,1969, Pacific-12 Conference,Division I-A
West Virginia,1969, Independent,Division I-A
Western Kentucky,1969, Ohio Valley Conference,Division II
Western Michigan,1969, Mid-American Conference,Division I-A
Wisconsin,1969, Big Ten Conference,Division I-A
Wyoming,1969, Western Athletic Conference,Division I-A
Air Force (CO),1970, Independent,Division I-A
Akron (OH),1970, Independent,Division II
Alabama,1970, Southeastern Conference,Division I-A
Appalachian St. (NC),1970, Independent,NAIA
Arizona,1970, Western Athletic Conference,Division I-A
Arizona St.,1970, Western Athletic Conference,Division I-A
Arkansas,1970, Southwest Conference,Division I-A
Arkansas St.,1970, Southland Conference,Division II
Army (NY),1970, Independent,Division I-A
Auburn (AL),1970, Southeastern Conference,Division I-A
Ball St. (IN),1970, Independent,Division II
Baylor (TX),1970, Southwest Conference,Division I-A
Boise St. (ID),1970, Big Sky Conference,Division II
Boston College (MA),1970, Independent,Division I-A
Bowling Green (OH),1970, Mid-American Conference,Division I-A
Brigham Young (UT),1970, Western Athletic Conference,Division I-A
Buffalo (NY),1970, Independent,Division I-A
California,1970, Pacific-12 Conference,Division I-A
Central Michigan,1970, Independent,Division II
Cincinnati (OH),1970, Independent,Division I-A
Clemson (SC),1970, Atlantic Coast Conference,Division I-A
Colorado,1970, Big Eight Conference,Division I-A
Colorado St.,1970, Western Athletic Conference,Division I-A
Connecticut,1970, Yankee Conference,Division II
Duke (NC),1970, Atlantic Coast Conference,Division I-A
East Carolina (NC),1970, Southern Conference,Division I-A
Eastern Michigan,1970, Independent,Division II
Florida,1970, Southeastern Conference,Division I-A
Florida St.,1970, Independent,Division I-A
Fresno St. (CA),1970, Big West Conference,Division I-A
Georgia,1970, Southeastern Conference,Division I-A
Georgia Tech,1970, Independent,Division I-A
Hawaii,1970, Independent,Division II
Houston (TX),1970, Independent,Division I-A
Idaho,1970, Big Sky Conference,Division I-A
Illinois,1970, Big Ten Conference,Division I-A
Indiana,1970, Big Ten Conference,Division I-A
Iowa,1970, Big Ten Conference,Division I-A
Iowa St.,1970, Big Eight Conference,Division I-A
Kansas,1970, Big Eight Conference,Division I-A
Kansas St.,1970, Big Eight Conference,Division I-A
Kent St. (OH),1970, Mid-American Conference,Division I-A
Kentucky,1970, Southeastern Conference,Division I-A
Louisiana St.,1970, Southeastern Conference,Division I-A
Louisiana Tech,1970, Gulf States Conference,Division II
Louisiana-Lafayette,1970, Gulf States Conference,Division II
Louisiana-Monroe,1970, Gulf States Conference,Division II
Louisville (KY),1970, Missouri Valley Conference,Division I-A
Marshall (WV),1970, Independent,Division I-A
Maryland,1970, Atlantic Coast Conference,Division I-A
Massachusetts,1970, Yankee Conference,Division II
Memphis (TN),1970, Missouri Valley Conference,Division I-A
Miami (FL),1970, Independent,Division I-A
Miami (OH),1970, Mid-American Conference,Division I-A
Michigan,1970, Big Ten Conference,Division I-A
Michigan St.,1970, Big Ten Conference,Division I-A
Middle Tennessee St.,1970, Ohio Valley Conference,Division II
Minnesota,1970, Big Ten Conference,Division I-A
Mississippi,1970, Southeastern Conference,Division I-A
Mississippi St.,1970, Southeastern Conference,Division I-A
Missouri,1970, Big Eight Conference,Division I-A
Navy (MD),1970, Independent,Division I-A
Nebraska,1970, Big Eight Conference,Division I-A
Nevada,1970, Independent,Division II
Nevada-Las Vegas,1970, Independent,Division II
New Mexico,1970, Western Athletic Conference,Division I-A
New Mexico St.,1970, Independent,Division I-A
North Carolina,1970, Atlantic Coast Conference,Division I-A
North Carolina St.,1970, Atlantic Coast Conference,Division I-A
North Texas,1970, Missouri Valley Conference,Division I-A
Northern Illinois,1970, Independent,Division I-A
Northwestern (IL),1970, Big Ten Conference,Division I-A
Notre Dame (IN),1970, Independent,Division I-A
Ohio,1970, Mid-American Conference,Division I-A
Ohio St.,1970, Big Ten Conference,Division I-A
Oklahoma,1970, Big Eight Conference,Division I-A
Oklahoma St.,1970, Big Eight Conference,Division I-A
Oregon,1970, Pacific-12 Conference,Division I-A
Oregon St.,1970, Pacific-12 Conference,Division I-A
Penn St.,1970, Independent,Division I-A
Pittsburgh (PA),1970, Independent,Division I-A
Purdue (IN),1970, Big Ten Conference,Division I-A
Rice (TX),1970, Southwest Conference,Division I-A
Rutgers (NJ),1970, Middle Three Conference,Division I-A
San Diego St. (CA),1970, Big West Conference,Division I-A
San Jose St. (CA),1970, Big West Conference,Division I-A
South Carolina,1970, Atlantic Coast Conference,Division I-A
Southern California,1970, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1970, Southwest Conference,Division I-A
Southern Mississippi,1970, Independent,Division I-A
Stanford (CA),1970, Pacific-12 Conference,Division I-A
Syracuse (NY),1970, Independent,Division I-A
Temple (PA),1970, Independent,Division II
Tennessee,1970, Southeastern Conference,Division I-A
Texas,1970, Southwest Conference,Division I-A
Texas A&M,1970, Southwest Conference,Division I-A
Texas Christian,1970, Southwest Conference,Division I-A
Texas St.,1970, Lone Star Conference,Division II
Texas Tech,1970, Southwest Conference,Division I-A
Texas-El Paso,1970, Western Athletic Conference,Division I-A
Toledo (OH),1970, Mid-American Conference,Division I-A
Troy (AL),1970, Mid-South Athletic Conference,Division II
Tulane (LA),1970, Independent,Division I-A
Tulsa (OK),1970, Missouri Valley Conference,Division I-A
UCLA,1970, Pacific-12 Conference,Division I-A
Utah,1970, Western Athletic Conference,Division I-A
Utah St.,1970, Independent,Division I-A
Vanderbilt (TN),1970, Southeastern Conference,Division I-A
Virginia,1970, Atlantic Coast Conference,Division I-A
Virginia Tech,1970, Independent,Division I-A
Wake Forest (NC),1970, Atlantic Coast Conference,Division I-A
Washington,1970, Pacific-12 Conference,Division I-A
Washington St.,1970, Pacific-12 Conference,Division I-A
West Virginia,1970, Independent,Division I-A
Western Kentucky,1970, Ohio Valley Conference,Division II
Western Michigan,1970, Mid-American Conference,Division I-A
Wisconsin,1970, Big Ten Conference,Division I-A
Wyoming,1970, Western Athletic Conference,Division I-A
Air Force (CO),1971, Independent,Division I-A
Akron (OH),1971, Independent,Division II
Alabama,1971, Southeastern Conference,Division I-A
Appalachian St. (NC),1971, Southern Conference,Division I-A
Arizona,1971, Western Athletic Conference,Division I-A
Arizona St.,1971, Western Athletic Conference,Division I-A
Arkansas,1971, Southwest Conference,Division I-A
Arkansas St.,1971, Southland Conference,Division II
Army (NY),1971, Independent,Division I-A
Auburn (AL),1971, Southeastern Conference,Division I-A
Ball St. (IN),1971, Independent,Division II
Baylor (TX),1971, Southwest Conference,Division I-A
Boise St. (ID),1971, Big Sky Conference,Division II
Boston College (MA),1971, Independent,Division I-A
Bowling Green (OH),1971, Mid-American Conference,Division I-A
Brigham Young (UT),1971, Western Athletic Conference,Division I-A
Buffalo (NY),1971, Independent,NJCAA
California,1971, Pacific-12 Conference,Division I-A
Central Michigan,1971, Independent,Division II
Cincinnati (OH),1971, Independent,Division I-A
Clemson (SC),1971, Atlantic Coast Conference,Division I-A
Colorado,1971, Big Eight Conference,Division I-A
Colorado St.,1971, Western Athletic Conference,Division I-A
Connecticut,1971, Yankee Conference,Division II
Duke (NC),1971, Atlantic Coast Conference,Division I-A
East Carolina (NC),1971, Southern Conference,Division I-A
Eastern Michigan,1971, Independent,Division II
Florida,1971, Southeastern Conference,Division I-A
